Date,State,TotalSamples,Negative,Positive,Total_affected
4/17/2020,Andaman and Nicobar Islands,1403,1210,12,48276
4/24/2020,Andaman and Nicobar Islands,2679,,27,58604
4/27/2020,Andaman and Nicobar Islands,2848,,33,99449
5/1/2020,Andaman and Nicobar Islands,3754,,33,195525
5/16/2020,Andaman and Nicobar Islands,6677,,33,251280
5/19/2020,Andaman and Nicobar Islands,6965,,33,365965
5/20/2020,Andaman and Nicobar Islands,7082,,33,549381
5/21/2020,Andaman and Nicobar Islands,7167,,33,759008
5/22/2020,Andaman and Nicobar Islands,7263,,33,835058
5/23/2020,Andaman and Nicobar Islands,7327,,33,1277104
5/24/2020,Andaman and Nicobar Islands,7327,,33,1293784
5/25/2020,Andaman and Nicobar Islands,7363,,33,1726490
5/26/2020,Andaman and Nicobar Islands,7448,,33,2295491
5/27/2020,Andaman and Nicobar Islands,7499,,33,2814803
5/28/2020,Andaman and Nicobar Islands,7519,,33,3067736
5/29/2020,Andaman and Nicobar Islands,7567,,33,3127107
5/30/2020,Andaman and Nicobar Islands,7567,,33,3350265
5/31/2020,Andaman and Nicobar Islands,7706,,33,3527971
6/1/2020,Andaman and Nicobar Islands,7805,,33,3825835
6/2/2020,Andaman and Nicobar Islands,8086,,33,4314304
6/3/2020,Andaman and Nicobar Islands,8295,,33,4765924
6/4/2020,Andaman and Nicobar Islands,8413,,33,5111827
6/5/2020,Andaman and Nicobar Islands,8694,,33,5168099
6/6/2020,Andaman and Nicobar Islands,9037,,33,5615499
6/7/2020,Andaman and Nicobar Islands,9242,,33,6002474
6/8/2020,Andaman and Nicobar Islands,9341,,33,6462270
6/9/2020,Andaman and Nicobar Islands,9859,,33,6958553
6/10/2020,Andaman and Nicobar Islands,10010,,35,7423817
6/11/2020,Andaman and Nicobar Islands,10226,,38,7708211
6/12/2020,Andaman and Nicobar Islands,10697,,38,7732278
6/13/2020,Andaman and Nicobar Islands,10955,,38,8253651
6/14/2020,Andaman and Nicobar Islands,11356,,38,8577226
6/15/2020,Andaman and Nicobar Islands,11518,,41,9023239
6/16/2020,Andaman and Nicobar Islands,11809,,44,9338267
6/17/2020,Andaman and Nicobar Islands,12239,,44,10241508
6/18/2020,Andaman and Nicobar Islands,12622,,45,10619113
6/19/2020,Andaman and Nicobar Islands,12930,,47,10651012
6/20/2020,Andaman and Nicobar Islands,13320,,47,11243679
6/21/2020,Andaman and Nicobar Islands,13434,,48,11597768
6/22/2020,Andaman and Nicobar Islands,13511,,48,12042958
6/23/2020,Andaman and Nicobar Islands,13723,,50,12819074
6/24/2020,Andaman and Nicobar Islands,13994,,56,13560932
6/25/2020,Andaman and Nicobar Islands,14277,,59,13560983
6/26/2020,Andaman and Nicobar Islands,14583,,72,13561208
6/27/2020,Andaman and Nicobar Islands,14851,,73,13561208
6/28/2020,Andaman and Nicobar Islands,15094,,83,14533954
6/29/2020,Andaman and Nicobar Islands,15410,,90,15383883
6/30/2020,Andaman and Nicobar Islands,15709,,97,16535703
7/1/2020,Andaman and Nicobar Islands,15982,,100,17871673
7/2/2020,Andaman and Nicobar Islands,16278,,109,19170828
7/3/2020,Andaman and Nicobar Islands,16626,,116,19288666
7/4/2020,Andaman and Nicobar Islands,16832,,119,21038500
7/5/2020,Andaman and Nicobar Islands,16909,,125,18360243
7/6/2020,Andaman and Nicobar Islands,17095,,141,19538547
7/7/2020,Andaman and Nicobar Islands,17381,,147,19953987
7/8/2020,Andaman and Nicobar Islands,17643,,149,21772159
7/9/2020,Andaman and Nicobar Islands,17852,,151,23159604
7/10/2020,Andaman and Nicobar Islands,18046,,156,23317750
7/11/2020,Andaman and Nicobar Islands,18315,,163,25618250
7/12/2020,Andaman and Nicobar Islands,18447,,163,31870745
7/13/2020,Andaman and Nicobar Islands,18609,,166,36496020
7/14/2020,Andaman and Nicobar Islands,18884,,171,38770404
7/15/2020,Andaman and Nicobar Islands,19061,,176,41309219
7/16/2020,Andaman and Nicobar Islands,19227,,180,43877868
7/17/2020,Andaman and Nicobar Islands,19421,,194,44645372
7/18/2020,Andaman and Nicobar Islands,19671,,198,47204633
7/19/2020,Andaman and Nicobar Islands,19904,,203,49973152
7/20/2020,Andaman and Nicobar Islands,20301,,207,52216237
7/21/2020,Andaman and Nicobar Islands,20642,,212,54589220
7/22/2020,Andaman and Nicobar Islands,21043,,221,57021164
7/23/2020,Andaman and Nicobar Islands,21310,,240,59235436
7/24/2020,Andaman and Nicobar Islands,21743,,259,59557120
7/25/2020,Andaman and Nicobar Islands,21965,,290,60183064
7/26/2020,Andaman and Nicobar Islands,22049,,324,61990242
7/27/2020,Andaman and Nicobar Islands,22548,,338,63935590
7/28/2020,Andaman and Nicobar Islands,22925,,363,66361722
7/29/2020,Andaman and Nicobar Islands,23217,,428,70090836
7/30/2020,Andaman and Nicobar Islands,23615,,471,73112119
7/31/2020,Andaman and Nicobar Islands,24038,,548,76405697
8/1/2020,Andaman and Nicobar Islands,24308,,636,79439889
8/2/2020,Andaman and Nicobar Islands,24580,,734,82065337
8/3/2020,Andaman and Nicobar Islands,25034,,830,87100627
8/4/2020,Andaman and Nicobar Islands,25492,,928,91881530
8/5/2020,Andaman and Nicobar Islands,25826,,1027,95583419
8/6/2020,Andaman and Nicobar Islands,26516,,1123,99069354
8/7/2020,Andaman and Nicobar Islands,26915,,1222,102000401
8/8/2020,Andaman and Nicobar Islands,27073,,1351,105970539
8/9/2020,Andaman and Nicobar Islands,27103,,1490,108598289
8/10/2020,Andaman and Nicobar Islands,27346,,1625,111913288
8/11/2020,Andaman and Nicobar Islands,27455,,1764,114598026
8/12/2020,Andaman and Nicobar Islands,27744,,1900,117305344
8/13/2020,Andaman and Nicobar Islands,27973,,2037,119971369
8/14/2020,Andaman and Nicobar Islands,28129,,2186,121207098
8/15/2020,Andaman and Nicobar Islands,28209,,2306,124457162
8/16/2020,Andaman and Nicobar Islands,28229,,2399,127428887
8/17/2020,Andaman and Nicobar Islands,28672,,2445,129646105
8/18/2020,Andaman and Nicobar Islands,28937,,2529,132754608
8/19/2020,Andaman and Nicobar Islands,29303,,2604,135658324
8/20/2020,Andaman and Nicobar Islands,29487,,2680,138185956
8/21/2020,Andaman and Nicobar Islands,29573,,2747,139185173
8/22/2020,Andaman and Nicobar Islands,29888,,2808,142524947
8/23/2020,Andaman and Nicobar Islands,30278,,2860,144879233
8/24/2020,Andaman and Nicobar Islands,30513,,2904,147053392
8/25/2020,Andaman and Nicobar Islands,31082,,2945,149268772
8/26/2020,Andaman and Nicobar Islands,31646,,2985,151998107
8/27/2020,Andaman and Nicobar Islands,31830,,3018,153626325
8/28/2020,Andaman and Nicobar Islands,32100,,3050,154211511
8/29/2020,Andaman and Nicobar Islands,32407,,3081,156082136
8/30/2020,Andaman and Nicobar Islands,32674,,3104,157750752
8/31/2020,Andaman and Nicobar Islands,33485,,3132,159931238
9/1/2020,Andaman and Nicobar Islands,35104,,3160,162603603
9/2/2020,Andaman and Nicobar Islands,36136,,,165190000
9/3/2020,Andaman and Nicobar Islands,37075,,3223,167493857
9/4/2020,Andaman and Nicobar Islands,37825,,3257,168304868
9/5/2020,Andaman and Nicobar Islands,38574,,3292,171098918
9/6/2020,Andaman and Nicobar Islands,39205,,3332,173862643
9/7/2020,Andaman and Nicobar Islands,39995,,3359,176045577
9/8/2020,Andaman and Nicobar Islands,41039,,3392,178361846
9/9/2020,Andaman and Nicobar Islands,41776,,3426,179646413
9/10/2020,Andaman and Nicobar Islands,42792,,3465,181544536
9/11/2020,Andaman and Nicobar Islands,43680,,3494,182251006
9/12/2020,Andaman and Nicobar Islands,44570,,3521,183817204
9/13/2020,Andaman and Nicobar Islands,45279,,3546,185191602
9/14/2020,Andaman and Nicobar Islands,45987,,3557,186410600
9/15/2020,Andaman and Nicobar Islands,46823,,3574,187886885
9/16/2020,Andaman and Nicobar Islands,47794,,3593,189344105
9/17/2020,Andaman and Nicobar Islands,48861,,3604,190936859
9/18/2020,Andaman and Nicobar Islands,50035,,3631,191877460
9/19/2020,Andaman and Nicobar Islands,50681,,3644,194313920
9/20/2020,Andaman and Nicobar Islands,51262,,3651,196463495
9/21/2020,Andaman and Nicobar Islands,52220,,3673,198425615
9/22/2020,Andaman and Nicobar Islands,52845,,3691,201438120
9/23/2020,Andaman and Nicobar Islands,53591,,3712,204617572
9/24/2020,Andaman and Nicobar Islands,52992,,3744,207796464
9/25/2020,Andaman and Nicobar Islands,55169,,3759,208907723
9/26/2020,Andaman and Nicobar Islands,56059,,3774,211778491
9/27/2020,Andaman and Nicobar Islands,56661,,3794,214314522
9/28/2020,Andaman and Nicobar Islands,57343,,3803,216858197
9/29/2020,Andaman and Nicobar Islands,58135,,3821,219831571
9/30/2020,Andaman and Nicobar Islands,58763,,3835,223642281
10/1/2020,Andaman and Nicobar Islands,59676,,3848,227162503
10/2/2020,Andaman and Nicobar Islands,60437,,3858,228624578
10/3/2020,Andaman and Nicobar Islands,61231,,3868,232063488
10/4/2020,Andaman and Nicobar Islands,62103,,3884,234952618
10/5/2020,Andaman and Nicobar Islands,63009,,3899,238440129
10/6/2020,Andaman and Nicobar Islands,63790,,3912,241846863
10/7/2020,Andaman and Nicobar Islands,65111,,3935,245411955
10/8/2020,Andaman and Nicobar Islands,66244,,3952,249033094
10/9/2020,Andaman and Nicobar Islands,67332,,3976,250656362
10/10/2020,Andaman and Nicobar Islands,68464,,3992,254653040
10/11/2020,Andaman and Nicobar Islands,69146,,4005,257605528
10/12/2020,Andaman and Nicobar Islands,69932,,4023,261118468
10/13/2020,Andaman and Nicobar Islands,70780,,4036,264537245
10/14/2020,Andaman and Nicobar Islands,71624,,4046,267951571
10/15/2020,Andaman and Nicobar Islands,72525,,4062,271833642
10/16/2020,Andaman and Nicobar Islands,73363,,4072,275018693
10/17/2020,Andaman and Nicobar Islands,74277,,4083,283891764
10/18/2020,Andaman and Nicobar Islands,75030,,4108,289961746
10/19/2020,Andaman and Nicobar Islands,75977,,4126,296892521
10/20/2020,Andaman and Nicobar Islands,77200,,4141,0
10/21/2020,Andaman and Nicobar Islands,78303,,4168,0
10/22/2020,Andaman and Nicobar Islands,79301,,4184,0
10/23/2020,Andaman and Nicobar Islands,80768,,4207,0
10/24/2020,Andaman and Nicobar Islands,81880,,4225,23
10/25/2020,Andaman and Nicobar Islands,82626,,4245,23
10/26/2020,Andaman and Nicobar Islands,83115,,4253,42
10/27/2020,Andaman and Nicobar Islands,84308,,4274,89
10/28/2020,Andaman and Nicobar Islands,85378,,4289,124
10/29/2020,Andaman and Nicobar Islands,86715,,4305,239
10/30/2020,Andaman and Nicobar Islands,87789,,4317,552
10/31/2020,Andaman and Nicobar Islands,88453,,4332,920
11/1/2020,Andaman and Nicobar Islands,89559,,4340,966
11/2/2020,Andaman and Nicobar Islands,90901,,4352,1519
11/3/2020,Andaman and Nicobar Islands,92249,,4372,1519
11/4/2020,Andaman and Nicobar Islands,93406,,4389,1519
11/5/2020,Andaman and Nicobar Islands,94639,,4403,1956
11/6/2020,Andaman and Nicobar Islands,96214,,4420,2024
11/7/2020,Andaman and Nicobar Islands,97603,,4441,2060
11/8/2020,Andaman and Nicobar Islands,98812,,4450,2060
11/9/2020,Andaman and Nicobar Islands,100025,,4463,2060
11/10/2020,Andaman and Nicobar Islands,101226,,4477,2060
11/11/2020,Andaman and Nicobar Islands,102433,,4494,2107
11/12/2020,Andaman and Nicobar Islands,103599,,4507,2290
11/13/2020,Andaman and Nicobar Islands,104785,,4518,2514
11/14/2020,Andaman and Nicobar Islands,105699,,4527,2780
11/15/2020,Andaman and Nicobar Islands,106734,,4536,2780
11/16/2020,Andaman and Nicobar Islands,108080,,4557,2780
11/17/2020,Andaman and Nicobar Islands,109646,,4574,2780
11/18/2020,Andaman and Nicobar Islands,111166,,4593,2780
11/19/2020,Andaman and Nicobar Islands,112792,,4604,2780
11/20/2020,Andaman and Nicobar Islands,114392,,4617,2852
11/21/2020,Andaman and Nicobar Islands,115968,,4631,3040
11/22/2020,Andaman and Nicobar Islands,117093,,4641,3040
11/23/2020,Andaman and Nicobar Islands,118654,,4656,3467
11/24/2020,Andaman and Nicobar Islands,120324,,4667,3467
11/25/2020,Andaman and Nicobar Islands,121931,,4677,3664
11/26/2020,Andaman and Nicobar Islands,123165,,4682,3846
11/27/2020,Andaman and Nicobar Islands,124832,,4689,4898
11/28/2020,Andaman and Nicobar Islands,126331,,4698,5653
11/29/2020,Andaman and Nicobar Islands,127912,,4704,5653
11/30/2020,Andaman and Nicobar Islands,129389,,4710,6856
12/1/2020,Andaman and Nicobar Islands,131080,,4718,7058
12/2/2020,Andaman and Nicobar Islands,132784,,4723,7240
12/3/2020,Andaman and Nicobar Islands,134355,,4729,7763
12/4/2020,Andaman and Nicobar Islands,135952,,4742,7989
12/5/2020,Andaman and Nicobar Islands,137648,,4747,7989
12/6/2020,Andaman and Nicobar Islands,139326,,4758,7989
12/7/2020,Andaman and Nicobar Islands,140961,,4773,7989
12/8/2020,Andaman and Nicobar Islands,142667,,4778,8724
12/9/2020,Andaman and Nicobar Islands,144401,,4783,8837
12/10/2020,Andaman and Nicobar Islands,146143,,4791,9361
12/11/2020,Andaman and Nicobar Islands,147806,,4798,9897
12/12/2020,Andaman and Nicobar Islands,149926,,4805,10498
12/13/2020,Andaman and Nicobar Islands,152004,,4818,11101
12/14/2020,Andaman and Nicobar Islands,153685,,4834,12004
12/15/2020,Andaman and Nicobar Islands,155454,,4842,9932
12/16/2020,Andaman and Nicobar Islands,157242,,4850,10161
12/17/2020,Andaman and Nicobar Islands,159027,,4860,10704
12/18/2020,Andaman and Nicobar Islands,160856,,4869,11321
12/19/2020,Andaman and Nicobar Islands,162821,,4875,11638
12/20/2020,Andaman and Nicobar Islands,165024,,4881,11693
12/21/2020,Andaman and Nicobar Islands,166845,,4888,12045
12/22/2020,Andaman and Nicobar Islands,168769,,4893,14826
12/23/2020,Andaman and Nicobar Islands,170666,,4896,15489
12/24/2020,Andaman and Nicobar Islands,172756,,4901,16131
12/25/2020,Andaman and Nicobar Islands,174482,,4912,16612
12/26/2020,Andaman and Nicobar Islands,175578,,4912,17451
12/27/2020,Andaman and Nicobar Islands,176898,,4924,17478
12/28/2020,Andaman and Nicobar Islands,177926,,4929,18085
12/29/2020,Andaman and Nicobar Islands,179444,,4936,19121
12/30/2020,Andaman and Nicobar Islands,180626,,4941,19693
12/31/2020,Andaman and Nicobar Islands,181640,,4945,20318
1/1/2021,Andaman and Nicobar Islands,182631,,4946,20789
1/2/2021,Andaman and Nicobar Islands,183725,,4947,21356
1/3/2021,Andaman and Nicobar Islands,184955,,4948,21358
1/4/2021,Andaman and Nicobar Islands,186140,,4948,21357
1/5/2021,Andaman and Nicobar Islands,187115,,4949,21840
1/6/2021,Andaman and Nicobar Islands,188351,,4949,21938
1/7/2021,Andaman and Nicobar Islands,190031,,4958,22608
1/8/2021,Andaman and Nicobar Islands,191206,,4959,22738
1/9/2021,Andaman and Nicobar Islands,192560,,4959,23221
1/10/2021,Andaman and Nicobar Islands,193719,,4960,23901
1/11/2021,Andaman and Nicobar Islands,195351,,4963,24774
1/12/2021,Andaman and Nicobar Islands,196859,,4966,25766
1/13/2021,Andaman and Nicobar Islands,198478,,4969,27978
1/14/2021,Andaman and Nicobar Islands,199805,,4976,30766
1/15/2021,Andaman and Nicobar Islands,200953,,4979,33217
1/16/2021,Andaman and Nicobar Islands,202521,,4982,35433
1/17/2021,Andaman and Nicobar Islands,203741,,4983,37624
1/18/2021,Andaman and Nicobar Islands,205411,,4988,42285
1/19/2021,Andaman and Nicobar Islands,206732,,4989,48845
1/20/2021,Andaman and Nicobar Islands,208179,,4991,55595
1/21/2021,Andaman and Nicobar Islands,209437,,4991,60857
1/22/2021,Andaman and Nicobar Islands,210762,,4992,67662
1/23/2021,Andaman and Nicobar Islands,212393,,4993,74019
1/24/2021,Andaman and Nicobar Islands,213467,,4993,78153
1/25/2021,Andaman and Nicobar Islands,214915,,4994,83028
1/26/2021,Andaman and Nicobar Islands,215858,,4994,86910
1/27/2021,Andaman and Nicobar Islands,217007,,4994,89072
1/28/2021,Andaman and Nicobar Islands,218629,,4994,91833
1/29/2021,Andaman and Nicobar Islands,220484,,4994,94166
1/30/2021,Andaman and Nicobar Islands,221876,,4994,96093
1/31/2021,Andaman and Nicobar Islands,223137,,4994,97392
2/1/2021,Andaman and Nicobar Islands,224852,,4994,99109
2/2/2021,Andaman and Nicobar Islands,226584,,4994,100571
2/3/2021,Andaman and Nicobar Islands,228290,,4994,101770
2/4/2021,Andaman and Nicobar Islands,230133,,4994,102998
2/5/2021,Andaman and Nicobar Islands,231633,,4997,104374
2/6/2021,Andaman and Nicobar Islands,233597,,5000,105090
2/7/2021,Andaman and Nicobar Islands,235072,,5001,105285
2/8/2021,Andaman and Nicobar Islands,236643,,5005,106250
2/9/2021,Andaman and Nicobar Islands,238339,,5007,107018
2/10/2021,Andaman and Nicobar Islands,240362,,5007,107955
2/11/2021,Andaman and Nicobar Islands,241833,,5007,109060
2/12/2021,Andaman and Nicobar Islands,243631,,5007,110161
2/13/2021,Andaman and Nicobar Islands,245745,,5009,111168
2/14/2021,Andaman and Nicobar Islands,247289,,5009,111285
2/15/2021,Andaman and Nicobar Islands,248562,,5009,112403
2/16/2021,Andaman and Nicobar Islands,250037,,5013,113019
2/17/2021,Andaman and Nicobar Islands,251774,,5014,113622
2/18/2021,Andaman and Nicobar Islands,253718,,5014,114400
2/19/2021,Andaman and Nicobar Islands,255675,,5014,114498
2/20/2021,Andaman and Nicobar Islands,257213,,5014,115188
2/21/2021,Andaman and Nicobar Islands,258773,,5014,115188
2/22/2021,Andaman and Nicobar Islands,260324,,5015,115627
2/23/2021,Andaman and Nicobar Islands,261719,,5016,115911
2/24/2021,Andaman and Nicobar Islands,263090,,5016,116427
2/25/2021,Andaman and Nicobar Islands,264369,,5016,117180
2/26/2021,Andaman and Nicobar Islands,265852,,5017,117950
2/27/2021,Andaman and Nicobar Islands,267209,,5018,118761
2/28/2021,Andaman and Nicobar Islands,268499,,5020,119144
3/1/2021,Andaman and Nicobar Islands,269799,,5020,119595
3/2/2021,Andaman and Nicobar Islands,271193,,5020,120282
3/3/2021,Andaman and Nicobar Islands,273010,,5022,121091
3/4/2021,Andaman and Nicobar Islands,274849,,5024,121709
3/5/2021,Andaman and Nicobar Islands,276471,,5024,122466
3/6/2021,Andaman and Nicobar Islands,278437,,5024,123483
3/7/2021,Andaman and Nicobar Islands,280041,,,123725
3/8/2021,Andaman and Nicobar Islands,281955,,5026,124268
3/9/2021,Andaman and Nicobar Islands,283492,,5028,125007
3/10/2021,Andaman and Nicobar Islands,285087,,5028,125514
3/11/2021,Andaman and Nicobar Islands,286505,,5028,126200
3/12/2021,Andaman and Nicobar Islands,288197,,5029,126713
3/13/2021,Andaman and Nicobar Islands,290341,,5030,127194
3/14/2021,Andaman and Nicobar Islands,291842,,5031,127202
3/15/2021,Andaman and Nicobar Islands,294094,,5031,127759
3/16/2021,Andaman and Nicobar Islands,295827,,5032,128195
3/17/2021,Andaman and Nicobar Islands,297433,,5035,128498
3/18/2021,Andaman and Nicobar Islands,299048,,5036,129402
3/19/2021,Andaman and Nicobar Islands,300892,,5038,130173
3/20/2021,Andaman and Nicobar Islands,302566,,5038,131060
3/21/2021,Andaman and Nicobar Islands,304391,,5039,131063
3/22/2021,Andaman and Nicobar Islands,305778,,5039,132004
3/23/2021,Andaman and Nicobar Islands,307255,,5039,132939
3/24/2021,Andaman and Nicobar Islands,308812,,5041,133931
3/25/2021,Andaman and Nicobar Islands,310615,,5042,134897
3/26/2021,Andaman and Nicobar Islands,312378,,5043,135850
3/27/2021,Andaman and Nicobar Islands,314309,,5044,136707
3/28/2021,Andaman and Nicobar Islands,315818,,5046,136708
3/29/2021,Andaman and Nicobar Islands,317137,,5052,137495
3/30/2021,Andaman and Nicobar Islands,318382,,5081,140296
3/31/2021,Andaman and Nicobar Islands,319864,,5083,144234
4/1/2021,Andaman and Nicobar Islands,321456,,5084,
4/2/2021,Andaman and Nicobar Islands,323001,,5084,
4/3/2021,Andaman and Nicobar Islands,324207,,5098,
4/4/2021,Andaman and Nicobar Islands,325826,,5109,
4/5/2021,Andaman and Nicobar Islands,327270,,5116,4216
4/6/2021,Andaman and Nicobar Islands,328737,,5123,9251
4/7/2021,Andaman and Nicobar Islands,330481,,5131,12234
4/8/2021,Andaman and Nicobar Islands,332119,,5149,25539
4/9/2021,Andaman and Nicobar Islands,333671,,5161,35901
4/10/2021,Andaman and Nicobar Islands,335784,,5175,45040
4/11/2021,Andaman and Nicobar Islands,337833,,5190,55697
4/12/2021,Andaman and Nicobar Islands,339482,,5201,70380
4/13/2021,Andaman and Nicobar Islands,341557,,5209,74221
4/14/2021,Andaman and Nicobar Islands,343431,,5247,89879
4/15/2021,Andaman and Nicobar Islands,345485,,5262,90616
4/16/2021,Andaman and Nicobar Islands,347489,,5289,107999
4/17/2021,Andaman and Nicobar Islands,349739,,5331,117543
4/18/2021,Andaman and Nicobar Islands,352086,,5390,124647
4/19/2021,Andaman and Nicobar Islands,353754,,5421,133571
4/20/2021,Andaman and Nicobar Islands,355507,,5466,133623
4/21/2021,Andaman and Nicobar Islands,357442,,5490,133642
4/22/2021,Andaman and Nicobar Islands,358903,,5527,133646
4/23/2021,Andaman and Nicobar Islands,360595,,5569,161302
4/24/2021,Andaman and Nicobar Islands,361594,,5614,188704
4/25/2021,Andaman and Nicobar Islands,363056,,5665,218899
4/26/2021,Andaman and Nicobar Islands,364735,,5716,245938
4/27/2021,Andaman and Nicobar Islands,366683,,5764,249205
4/28/2021,Andaman and Nicobar Islands,367689,,5816,263588
4/29/2021,Andaman and Nicobar Islands,368945,,5875,275654
4/30/2021,Andaman and Nicobar Islands,370896,,5949,286401
5/1/2021,Andaman and Nicobar Islands,372214,,6046,294574
5/2/2021,Andaman and Nicobar Islands,373007,,6084,303031
5/3/2021,Andaman and Nicobar Islands,373785,,6150,319740
5/4/2021,Andaman and Nicobar Islands,374428,,6181,319743
5/5/2021,Andaman and Nicobar Islands,375095,,6223,345830
5/6/2021,Andaman and Nicobar Islands,375477,,6255,370880
5/7/2021,Andaman and Nicobar Islands,375967,,6311,402851
5/8/2021,Andaman and Nicobar Islands,376536,,6341,414038
5/9/2021,Andaman and Nicobar Islands,376933,,6367,476505
5/10/2021,Andaman and Nicobar Islands,377293,,6398,501288
5/11/2021,Andaman and Nicobar Islands,377516,,6426,509044
5/12/2021,Andaman and Nicobar Islands,378060,,6470,534507
5/13/2021,Andaman and Nicobar Islands,378462,,6510,559483
5/14/2021,Andaman and Nicobar Islands,378887,,6542,596327
5/15/2021,Andaman and Nicobar Islands,379096,,6568,639187
5/16/2021,Andaman and Nicobar Islands,379674,,6603,673767
5/17/2021,Andaman and Nicobar Islands,380102,,6638,673767
5/18/2021,Andaman and Nicobar Islands,380395,,6674,673767
5/19/2021,Andaman and Nicobar Islands,380853,,6709,673767
5/20/2021,Andaman and Nicobar Islands,381349,,6758,702035
5/21/2021,Andaman and Nicobar Islands,382015,,6789,724119
5/22/2021,Andaman and Nicobar Islands,382640,,6820,749445
5/23/2021,Andaman and Nicobar Islands,383265,,6844,785259
5/24/2021,Andaman and Nicobar Islands,383396,,6853,836177
5/25/2021,Andaman and Nicobar Islands,383727,,6878,836337
5/26/2021,Andaman and Nicobar Islands,384188,,6901,886175
5/27/2021,Andaman and Nicobar Islands,384528,,6917,740389
5/28/2021,Andaman and Nicobar Islands,385020,,6936,781210
5/29/2021,Andaman and Nicobar Islands,385564,,6964,789453
5/30/2021,Andaman and Nicobar Islands,385988,,6984,837831
5/31/2021,Andaman and Nicobar Islands,386613,,7005,881112
6/1/2021,Andaman and Nicobar Islands,387348,,7018,881921
6/2/2021,Andaman and Nicobar Islands,387871,,7043,955901
6/3/2021,Andaman and Nicobar Islands,388486,,7070,1234075
6/4/2021,Andaman and Nicobar Islands,389152,,7088,1380960
6/5/2021,Andaman and Nicobar Islands,389785,,7105,1472043
6/6/2021,Andaman and Nicobar Islands,390574,,7119,1569131
6/7/2021,Andaman and Nicobar Islands,391273,,7131,1681001
6/8/2021,Andaman and Nicobar Islands,392095,,7154,1689691
6/9/2021,Andaman and Nicobar Islands,392974,,7168,1803338
6/10/2021,Andaman and Nicobar Islands,393692,,7197,1939162
6/11/2021,Andaman and Nicobar Islands,394822,,7233,2062333
6/12/2021,Andaman and Nicobar Islands,395624,,7243,2211652
6/13/2021,Andaman and Nicobar Islands,396534,,7261,2320613
6/14/2021,Andaman and Nicobar Islands,397190,,7269,2451110
6/15/2021,Andaman and Nicobar Islands,397953,,7280,2461015
6/16/2021,Andaman and Nicobar Islands,398852,,7306,2527121
6/17/2021,Andaman and Nicobar Islands,399580,,7335,2621769
6/18/2021,Andaman and Nicobar Islands,400211,,7363,2725169
6/19/2021,Andaman and Nicobar Islands,400997,,7394,2825721
6/20/2021,Andaman and Nicobar Islands,401769,,7406,2898547
6/21/2021,Andaman and Nicobar Islands,402629,,7415,2986837
6/22/2021,Andaman and Nicobar Islands,403616,,7425,3047568
4/2/2020,Andhra Pradesh,1800,1175,132,3142814
4/10/2020,Andhra Pradesh,6374,6009,365,3207917
4/11/2020,Andhra Pradesh,6958,6577,381,3352010
4/12/2020,Andhra Pradesh,6958,6553,405,3496367
4/13/2020,Andhra Pradesh,8755,8323,432,3571106
4/14/2020,Andhra Pradesh,10505,10032,473,3803237
4/15/2020,Andhra Pradesh,11613,11088,525,3892459
4/16/2020,Andhra Pradesh,20235,19701,534,3913669
4/17/2020,Andhra Pradesh,20235,,572,3918519
4/18/2020,Andhra Pradesh,21450,20487,603,4558756
4/19/2020,Andhra Pradesh,26958,26311,647,4597442
4/20/2020,Andhra Pradesh,30733,30011,722,4603722
4/21/2020,Andhra Pradesh,35755,34998,757,4607860
4/22/2020,Andhra Pradesh,41512,40699,813,4613016
4/23/2020,Andhra Pradesh,48032,47139,893,4756582
4/24/2020,Andhra Pradesh,54338,53383,955,4927355
4/25/2020,Andhra Pradesh,61266,60250,1016,4968449
4/26/2020,Andhra Pradesh,68034,66937,1097,5327886
4/27/2020,Andhra Pradesh,74551,73374,1177,5554779
4/28/2020,Andhra Pradesh,80334,79075,1259,5669867
4/29/2020,Andhra Pradesh,88061,86729,1332,5678642
4/30/2020,Andhra Pradesh,94558,93155,1403,5986083
5/1/2020,Andhra Pradesh,102460,100997,1463,6177693
5/2/2020,Andhra Pradesh,108403,106878,1525,6281949
5/3/2020,Andhra Pradesh,114937,113354,1583,6353841
5/4/2020,Andhra Pradesh,125229,123579,1650,6579034
5/5/2020,Andhra Pradesh,133492,131775,1717,6694297
5/6/2020,Andhra Pradesh,141274,139497,1777,6696325
5/7/2020,Andhra Pradesh,149361,147528,1833,6732767
5/8/2020,Andhra Pradesh,156681,154794,1887,6748028
5/9/2020,Andhra Pradesh,165069,163139,1930,6947225
5/10/2020,Andhra Pradesh,173735,171755,1980,7140106
5/11/2020,Andhra Pradesh,181144,179126,2018,7255219
5/12/2020,Andhra Pradesh,191874,189823,2051,7410800
5/13/2020,Andhra Pradesh,201196,199059,2137,7425692
5/14/2020,Andhra Pradesh,210452,208247,2100,7427778
5/15/2020,Andhra Pradesh,219490,217183,2157,7463899
5/17/2020,Andhra Pradesh,238998,236618,2230,7504394
5/18/2020,Andhra Pradesh,248771,246279,2282,7551945
5/19/2020,Andhra Pradesh,258450,255961,2339,7570886
5/20/2020,Andhra Pradesh,267612,265052,2407,7651927
5/21/2020,Andhra Pradesh,275704,273099,2452,7664356
5/22/2020,Andhra Pradesh,284119,281452,2514,7731254
5/23/2020,Andhra Pradesh,292969,290255,2561,7799705
5/24/2020,Andhra Pradesh,304326,301529,2627,7835404
